ID,BestPosition,Height,Weight
5,GK,189.03751617076327,82.56921086675291
1,CB,186.46453018046049,79.75388923459863
6,LB,178.38130381303813,72.40221402214023
10,RB,178.3107476635514,72.7838785046729
9,LWB,178.00692041522493,71.89965397923875
13,RWB,178.38387096774193,72.08064516129032
4,CM,179.73194856577646,73.46389713155291
2,CDM,180.71236133122028,74.86687797147385
0,CAM,176.8016341352701,70.43077621425329
7,LM,176.6778523489933,70.89395973154362
11,RM,176.6115765422696,70.61157654226962
8,LW,175.71428571428572,70.58791208791209
12,RW,176.2417910447761,70.4865671641791
3,CF,178.35365853658536,72.8780487804878
14,ST,183.3385641428011,77.64535111808553
